Name, Year, WikiLink
Carlo Rubbia,1934, /wiki/Carlo_Rubbia
Vera Rubin,1928, /wiki/Vera_Rubin
Serge Rudaz,1954, /wiki/Serge_Rudaz
David Ruelle,1935, /wiki/David_Ruelle
Nathan Rosen,1909, /wiki/Nathan_Rosen
Nathan Rosen,1909, /wiki/Nathan_Rosen
Mendel Sachs,1927, /wiki/Mendel_Sachs
Megh Nad Saha,1893, /wiki/Megh_Nad_Saha
Anthony Ichiro Sanda,1944, /wiki/Anthony_Ichiro_Sanda
Matthew Sanders,1996, /wiki/Matthew_Sanders
Isidor Sauers,1948, /wiki/Isidor_Sauers
Martin Schadt,1938, /wiki/Martin_Schadt
Brian Schmidt,1967, /wiki/Brian_Schmidt
Kees A. Schouhamer Immink,1946, /wiki/Kees_A._Schouhamer_Immink
John Robert Schrieffer,1931, /wiki/John_Robert_Schrieffer
Erwin Schr%C3%B6dinger,1887, /wiki/Erwin_Schr%C3%B6dinger
John Henry Schwarz,1941, /wiki/John_Henry_Schwarz
Dennis William Sciama,1926, /wiki/Dennis_William_Sciama
Bice Sechi-Zorn,1928, /wiki/Bice_Sechi-Zorn
Nathan Seiberg,1956, /wiki/Nathan_Seiberg
Ashoke Sen,1956, /wiki/Ashoke_Sen
Roman U. Sexl,1939, /wiki/Roman_U._Sexl
Mikhail Shifman,1949, /wiki/Mikhail_Shifman
Dmitry Shirkov,1928, /wiki/Dmitry_Shirkov
Eva Silverstein,1970, /wiki/Eva_Silverstein
Alexei Yuryevich Smirnov,1951, /wiki/Alexei_Yuryevich_Smirnov
Alexei Yuryevich Smirnov,1999, /wiki/Alexei_Yuryevich_Smirnov
George E. Smith,1930, /wiki/George_E._Smith
Lee Smolin,1955, /wiki/Lee_Smolin
George Smoot,1945, /wiki/George_Smoot
Arsenij Sokolov,1910, /wiki/Arsenij_Sokolov
Bent S%C3%B8rensen (physicist),1941, /wiki/Bent_S%C3%B8rensen_(physicist)
Rafael Sorkin,1945, /wiki/Rafael_Sorkin
Maria Spiropulu,1970, /wiki/Maria_Spiropulu
Jack Steinberger,1921, /wiki/Jack_Steinberger
Paul J. Steinhardt,1952, /wiki/Paul_J._Steinhardt
George Sterman,1946, /wiki/George_Sterman
Horst Ludwig St%C3%B6rmer,1949, /wiki/Horst_Ludwig_St%C3%B6rmer
Andrew Strominger,1955, /wiki/Andrew_Strominger
George Sudarshan,1931, /wiki/George_Sudarshan
Rashid Sunyaev,1943, /wiki/Rashid_Sunyaev
Oleg Sushkov,1950, /wiki/Oleg_Sushkov
Leonard Susskind,1940, /wiki/Leonard_Susskind
Le%C3%B3 Szil%C3%A1rd,1898, /wiki/Le%C3%B3_Szil%C3%A1rd
Igor Yevgenyevich Tamm,1895, /wiki/Igor_Yevgenyevich_Tamm
Geoffrey Ingram Taylor,1886, /wiki/Geoffrey_Ingram_Taylor
"Joseph Hooton Taylor, Jr.",1941," /wiki/Joseph_Hooton_Taylor,_Jr."
Richard E. Taylor,1929, /wiki/Richard_E._Taylor
Max Tegmark,1967, /wiki/Max_Tegmark
Edward Teller,1908, /wiki/Edward_Teller
Kip Stephen Thorne,1940, /wiki/Kip_Stephen_Thorne
Samuel C. C. Ting,1936, /wiki/Samuel_C._C._Ting
Frank J. Tipler,1947, /wiki/Frank_J._Tipler
Sin-Itiro Tomonaga,1906, /wiki/Sin-Itiro_Tomonaga
Charles Townes,1915, /wiki/Charles_Townes
Daniel C. Tsui,1939, /wiki/Daniel_C._Tsui
Neil Turok,1958, /wiki/Neil_Turok
Neil deGrasse Tyson,1958, /wiki/Neil_deGrasse_Tyson
George Eugene Uhlenbeck,1900, /wiki/George_Eugene_Uhlenbeck
Juris Upatnieks,1936, /wiki/Juris_Upatnieks
Sergei Vavilov,1891, /wiki/Sergei_Vavilov
Evgeny Velikhov,1935, /wiki/Evgeny_Velikhov
Martinus J. G. Veltman,1931, /wiki/Martinus_J._G._Veltman
Gabriele Veneziano,1942, /wiki/Gabriele_Veneziano
Jean-Pierre Vigier,1920, /wiki/Jean-Pierre_Vigier
