Name, Year, WikiLink
Rolf Singer, 1906, /wiki/Rolf_Singer
John Kunkel Small, 1869, /wiki/John_Kunkel_Small
Johannes Jacobus Smith, 1867, /wiki/Johannes_Jacobus_Smith
James Leonard Brierley Smith, 1897, /wiki/James_Leonard_Brierley_Smith
John Maynard Smith, 1920, /wiki/John_Maynard_Smith
John Otterbein Snyder, 1867, /wiki/John_Otterbein_Snyder
Solomon H. Snyder, 1938, /wiki/Solomon_H._Snyder
Walter Baldwin Spencer, 1860, /wiki/Walter_Baldwin_Spencer
Roger W. Sperry, 1913, /wiki/Roger_W._Sperry
Stewart Springer, 1906, /wiki/Stewart_Springer
Leonhard Hess Stejneger, 1851, /wiki/Leonhard_Hess_Stejneger
Karl Stetter, 1941, /wiki/Karl_Stetter
Nettie Maria Stevens, 1861, /wiki/Nettie_Maria_Stevens
Gerald Stokell, 1890, /wiki/Gerald_Stokell
Erwin Stresemann, 1889, /wiki/Erwin_Stresemann
Mriganka Sur, 1953, /wiki/Mriganka_Sur
Armen Takhtajan, 1910, /wiki/Armen_Takhtajan
Johannes Thiele (zoologist), 1860, /wiki/Johannes_Thiele_(zoologist)
Oldfield Thomas, 1858, /wiki/Oldfield_Thomas
Niko Tinbergen, 1907, /wiki/Niko_Tinbergen
Susumu Tonegawa, 1939, /wiki/Susumu_Tonegawa
Melchior Treub, 1851, /wiki/Melchior_Treub
Robert Trivers, 1943, /wiki/Robert_Trivers
Frederick W. True, 1858, /wiki/Frederick_W._True
Bernard Tucker, 1901, /wiki/Bernard_Tucker
Endel Tulving, 1927, /wiki/Endel_Tulving
Ruth Turner, 1915, /wiki/Ruth_Turner
Jakob von Uexk%C3%BCll, 1864, /wiki/Jakob_von_Uexk%C3%BCll
Francisco Varela, 1946, /wiki/Francisco_Varela
Nikolai Vavilov, 1887, /wiki/Nikolai_Vavilov
Damodaran M. Vasudevan, 1942, /wiki/Damodaran_M._Vasudevan
Craig Venter, 1946, /wiki/Craig_Venter
Vital Brazil, 1865, /wiki/Vital_Brazil
Bert Vogelstein, 1949, /wiki/Bert_Vogelstein
Karel Voous, 1920, /wiki/Karel_Voous
Frans de Waal, 1948, /wiki/Frans_de_Waal
Coslett Herbert Waddell, 1858, /wiki/Coslett_Herbert_Waddell
Jeremy Wade, 1960, /wiki/Jeremy_Wade
Warren H. Wagner, 1920, /wiki/Warren_H._Wagner
Selman Waksman, 1888, /wiki/Selman_Waksman
George Wald, 1906, /wiki/George_Wald
William Grey Walter, 1910, /wiki/William_Grey_Walter
Deepal Warakagoda, 1965, /wiki/Deepal_Warakagoda
Robin Warren, 1937, /wiki/Robin_Warren
James D. Watson, 1928, /wiki/James_D._Watson
Victor Westhoff, 1916, /wiki/Victor_Westhoff
Alexander Wetmore, 1886, /wiki/Alexander_Wetmore
William Morton Wheeler, 1865, /wiki/William_Morton_Wheeler
Hans Wiehler, 1930, /wiki/Hans_Wiehler
Eric F. Wieschaus, 1947, /wiki/Eric_F._Wieschaus
Torsten Wiesel, 1924, /wiki/Torsten_Wiesel
George C. Williams, 1926, /wiki/George_C._Williams
David Sloan Wilson, 1949, /wiki/David_Sloan_Wilson
Edward Adrian Wilson, 1872, /wiki/Edward_Adrian_Wilson
E. O. Wilson, 1929, /wiki/E._O._Wilson
Sergei Winogradsky, 1856, /wiki/Sergei_Winogradsky
Henry Witherby, 1873, /wiki/Henry_Witherby
Carl Woese, 1928, /wiki/Carl_Woese
Wong Siew Te, 1969, /wiki/Wong_Siew_Te
Flossie Wong-Staal, 1947, /wiki/Flossie_Wong-Staal
Sewall Wright, 1889, /wiki/Sewall_Wright
V. C. Wynne-Edwards, 1906, /wiki/V._C._Wynne-Edwards
